,MedianHHIncome,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Disorder
106,73449,NaN0.0066952879352856,0.766090808,0.86521792,0.738343327,NaN1.11293215972403,0.246221764,NaN0.314148229026284,NaN1.04722478820039
107,73449,NaN0.810129840169397,NaN0.664377271766318,0.208572239,NaN0.439875462969704,NaN0.137481933989406,0.088181748,0.485501808,1.523794973
108,148594,0.555708899,0.497878043,0.86521792,NaN0.0471358664322551,0.740423269,0.40426178,0.713973248,0.186864697
109,148594,1.600173817,1.749537613,1.631304547,1.327452721,1.130603359,1.589561901,0.942444687,0.495387068
110,148594,NaN0.488756019275754,NaN1.20080280177364,NaN0.338632494661035,0.541973528,NaN1.30802220487095,NaN0.464958308256598,NaN0.542619668318131,0.186864697
111,148594,NaN0.24772565360552,0.944899318,0.646336026,0.443788629,2.106053585,1.510541893,2.313273323,0.186864697
112,116488,0.87708272,1.123707828,1.084099813,0.149233932,1.033058337,NaN0.622998324363522,1.285151846,NaN1.04722478820039
113,116488,2.323264914,2.107154633,1.85018644,NaN0.0471358664322551,0.350243179,NaN0.702018332416979,NaN0.771091107609978,NaN1.66426953086535
114,116488,1.359143451,1.749537613,1.19354076,0.836528226,0.740423269,0.799361821,NaN0.199912509380361,NaN0.121657674202966
115,116488,1.19845654,1.838941868,1.412422653,0.443788629,1.52078345,0.00916174,NaN0.428383948672207,NaN1.35574715953288
116,82800,1.921547637,1.749537613,1.631304547,0.443788629,1.813418517,NaN0.622998324363522,1.399387566,0.186864697
117,82800,1.359143451,1.570729103,0.86521792,0.247418831,1.618328472,NaN0.860058348523903,2.084801884,NaN0.430180045535442
118,82800,1.921547637,1.660133358,1.19354076,0.640158428,1.618328472,NaN0.622998324363522,2.084801884,NaN1.15006557864455
119,82800,1.278799996,1.391920593,0.536895079,NaN0.145320765566617,NaN0.625207046856724,NaN1.09711837268428,NaN0.199912509380361,NaN1.04722478820039
120,148636,2.082234548,1.838941868,1.302981707,NaN0.0471358664322551,0.837968292,NaN1.01809836463082,0.485501808,NaN1.5614287404212
121,148636,NaN0.89047329539281,NaN1.11139854677242,NaN0.229191547908759,0.640158428,0.057608111,1.273481869,NaN0.542619668318131,1.523794973
122,148636,0.073648167,0.050856768,0.974658866,1.720192318,2.106053585,1.826621925,1.742094725,1.215272602
123,148636,NaN0.0870387431586941,0.229665278,NaN0.557514388165592,NaN0.439875462969704,NaN0.52766202428326,NaN1.17613838073774,NaN1.34226970583958,NaN0.841543207312084
124,86486,NaN1.05116020583963,NaN0.932590036769984,0.099131292,NaN0.145320765566617,0.447788201,0.799361821,NaN1.68497686477735,0.392546278
125,86486,NaN0.488756019275754,NaN0.306760251761435,NaN0.448073441413317,NaN0.93079995864151,0.740423269,NaN0.860058348523903,NaN0.656855387964054,NaN0.841543207312084
126,86486,NaN0.649442929722576,NaN0.664377271766318,NaN0.77639628167015,NaN1.42172445431331,NaN1.21047718229749,NaN1.01809836463082,NaN0.999562546901818,NaN1.5614287404212
127,86486,NaN0.167382198382107,NaN0.127951741758991,0.208572239,0.34560373,0.447788201,NaN0.306918292149674,1.056680407,0.186864697
128,175625,NaN1.21184711628645,NaN0.932590036769984,NaN0.885837228422432,NaN0.832615059507148,0.447788201,NaN1.09711837268428,NaN1.11379826654774,1.832317344
129,175625,NaN1.05116020583963,NaN1.0219942917712,NaN1.32360101543154,NaN1.12716975691022,NaN1.30802220487095,NaN0.0698582679892935,NaN1.11379826654774,0.392546278
130,175625,NaN0.810129840169397,NaN0.485568761763879,0.318013186,0.247418831,NaN1.11293215972403,0.167201756,NaN0.428383948672207,NaN0.533020835979602
131,175625,NaN1.05116020583963,NaN0.932590036769984,NaN0.77639628167015,NaN1.22535465604459,NaN0.52766202428326,NaN0.464958308256598,0.14279465,0.084023907
132,140556,NaN0.0870387431586941,NaN0.396164506762657,0.646336026,1.229267822,0.545333224,1.431521885,0.371266089,1.832317344
133,140556,NaN0.970816750616223,NaN0.75378152676754,NaN0.338632494661035,NaN0.145320765566617,NaN1.21047718229749,0.325241772,NaN0.314148229026284,1.112431811
134,140556,1.439486906,1.213112083,1.740745494,1.916562116,0.740423269,0.878381829,NaN0.199912509380361,NaN1.45858794997704
135,140556,1.600173817,0.676686553,1.19354076,0.836528226,0.447788201,0.00916174,NaN0.314148229026284,NaN0.635861626423762
136,140556,NaN0.649442929722576,NaN0.664377271766318,0.208572239,NaN0.439875462969704,NaN0.820297092003645,NaN1.01809836463082,0.599737528,NaN0.121657674202966
137,140556,1.03776963,1.570729103,2.397391174,2.309301713,0.252698156,1.431521885,1.056680407,NaN0.635861626423762
138,140556,1.600173817,1.123707828,0.208572239,0.247418831,NaN0.625207046856724,NaN0.702018332416979,NaN0.199912509380361,NaN0.121657674202966
139,140556,NaN0.0870387431586941,NaN0.485568761763879,NaN0.885837228422432,NaN0.636245261238423,2.203598608,NaN0.702018332416979,1.399387566,NaN0.533020835979602
140,158462,NaN0.408412564052341,NaN0.127951741758991,NaN0.0103096544042018,0.149233932,NaN1.21047718229749,NaN0.464958308256598,NaN0.885326827255901,0.186864697
141,158462,NaN0.970816750616223,NaN1.20080280177364,NaN0.77639628167015,NaN0.145320765566617,1.91096354,0.641321804,1.627859005,1.420954182
142,158462,0.796739264,0.497878043,0.536895079,0.34560373,NaN1.30802220487095,NaN0.781038340470441,NaN0.314148229026284,NaN0.841543207312084
143,158462,NaN0.810129840169397,NaN1.11139854677242,NaN0.77639628167015,0.34560373,NaN1.30802220487095,0.720341813,0.14279465,NaN0.635861626423762
144,171136,1.19845654,1.481324848,NaN0.338632494661035,0.149233932,NaN0.430117001709797,0.00916174,NaN0.999562546901818,NaN0.327339255091281
145,171136,NaN0.24772565360552,NaN1.0219942917712,NaN0.229191547908759,0.836528226,NaN0.137481933989406,0.641321804,NaN0.314148229026284,1.729476554
146,171136,1.600173817,1.391920593,2.287950227,0.247418831,0.447788201,NaN0.702018332416979,0.371266089,NaN1.15006557864455
147,171136,NaN0.970816750616223,NaN0.843185781768762,NaN0.666955334917874,NaN0.341690563835342,1.033058337,0.00916174,2.199037603,1.523794973
148,94250,2.001891093,1.749537613,0.755776973,NaN0.341690563835342,NaN0.722752069430181,NaN1.41319840489813,NaN0.656855387964054,NaN1.66426953086535
149,94250,1.841204182,1.660133358,0.318013186,NaN0.0471358664322551,0.350243179,NaN0.939078356577365,0.485501808,NaN1.45858794997704
150,94250,0.475365443,0.319069533,NaN0.557514388165592,NaN1.42172445431331,NaN0.917842114577108,NaN1.41319840489813,NaN1.57074114513143,NaN1.97279190219783
151,94250,1.760860727,1.838941868,0.318013186,NaN0.439875462969704,NaN1.21047718229749,NaN0.622998324363522,NaN0.656855387964054,NaN1.5614287404212
152,94250,0.153991623,NaN0.664377271766318,NaN0.885837228422432,NaN1.51990935344767,0.837968292,NaN1.41319840489813,1.285151846,0.289705488
153,94250,1.519830361,1.391920593,1.084099813,0.836528226,NaN0.820297092003645,NaN0.939078356577365,NaN0.656855387964054,0.90675023
154,94250,1.19845654,1.034303573,1.084099813,NaN0.341690563835342,0.545333224,NaN0.385938300203136,NaN0.656855387964054,NaN1.76711032130951
155,94250,1.118113085,1.213112083,NaN0.0103096544042018,NaN0.243505664700979,1.130603359,NaN0.781038340470441,NaN0.999562546901818,NaN1.86995111175367
156,119125,0.475365443,NaN0.574973016765101,0.318013186,1.916562116,0.837968292,1.905641933,NaN0.314148229026284,1.729476554
157,119125,NaN0.729786384945989,NaN0.75378152676754,NaN1.5424829089361,NaN0.636245261238423,0.350243179,0.167201756,NaN0.885326827255901,0.90675023
158,119125,NaN0.488756019275754,0.229665278,0.974658866,1.131082923,1.033058337,1.194461861,0.942444687,1.009591021
159,119125,NaN1.13150366106304,NaN1.0219942917712,NaN1.32360101543154,NaN0.93079995864151,0.447788201,NaN0.464958308256598,0.371266089,0.186864697
160,109671,0.395021988,NaN0.0385474867577751,0.208572239,0.051049033,1.228148382,NaN0.227898284096212,NaN0.656855387964054,NaN0.738702416867923
161,109671,NaN0.569099474499163,NaN0.485568761763879,0.318013186,NaN0.439875462969704,0.252698156,0.088181748,NaN0.428383948672207,NaN0.430180045535442
162,109671,NaN0.0870387431586941,0.944899318,1.85018644,0.541973528,0.447788201,NaN0.464958308256598,0.485501808,NaN0.22449846464712
163,109671,NaN1.05116020583963,NaN1.11139854677242,NaN0.885837228422432,NaN1.51990935344767,1.618328472,NaN1.01809836463082,NaN0.885326827255901,NaN0.018816883758806
164,211042,1.921547637,2.285963143,1.740745494,1.032898024,2.203598608,0.562301796,0.371266089,NaN0.738702416867923
165,211042,NaN1.37253402673327,NaN1.4690155667773,NaN1.76136480244066,NaN1.42172445431331,NaN0.625207046856724,NaN1.25515838879121,NaN0.656855387964054,NaN0.018816883758806
166,211042,2.564295279,2.017750378,2.178509281,1.622007419,2.008508563,NaN0.54397831631006,1.856330444,NaN0.944383997756244
167,211042,2.242921458,1.838941868,2.069068334,0.934713125,1.130603359,NaN0.702018332416979,1.742094725,NaN0.430180045535442
168,150078,NaN0.408412564052341,NaN0.574973016765101,NaN1.10471912192698,NaN1.02898485777587,NaN0.137481933989406,NaN0.781038340470441,NaN1.11379826654774,NaN0.430180045535442
169,150078,NaN0.649442929722576,NaN0.75378152676754,NaN0.0103096544042018,NaN0.145320765566617,1.033058337,0.167201756,1.285151846,0.084023907
170,150078,0.073648167,0.587282298,0.318013186,0.051049033,0.837968292,NaN0.148878276042751,NaN0.542619668318131,NaN0.018816883758806
171,150078,0.234335078,0.766090808,0.208572239,0.738343327,NaN0.625207046856724,0.325241772,NaN1.34226970583958,0.392546278
172,156581,NaN1.5332209371801,NaN1.11139854677242,NaN1.10471912192698,NaN1.02898485777587,NaN0.917842114577108,NaN0.464958308256598,1.170916126,NaN0.121657674202966
173,156581,NaN0.970816750616223,NaN0.664377271766318,NaN0.77639628167015,NaN0.439875462969704,0.057608111,0.325241772,1.056680407,NaN1.15006557864455
174,156581,NaN1.21184711628645,NaN1.37961131177608,NaN1.5424829089361,NaN1.42172445431331,NaN0.0399369114159493,NaN0.860058348523903,0.713973248,NaN0.635861626423762
175,156581,NaN1.13150366106304,NaN1.0219942917712,NaN0.229191547908759,NaN0.243505664700979,0.740423269,1.115441853,1.056680407,1.523794973
176,148542,NaN1.21184711628645,NaN0.932590036769984,NaN0.338632494661035,NaN0.341690563835342,1.813418517,NaN0.306918292149674,NaN0.199912509380361,1.626635763
177,148542,NaN1.21184711628645,NaN1.20080280177364,NaN1.21416006867926,NaN0.243505664700979,1.033058337,0.088181748,0.257030369,0.80390944
178,148542,NaN1.13150366106304,NaN1.0219942917712,NaN0.666955334917874,NaN0.93079995864151,1.52078345,0.00916174,0.371266089,0.701068649
179,148542,0.314678533,0.319069533,0.318013186,0.051049033,0.935513314,0.641321804,1.170916126,NaN0.430180045535442
180,121895,NaN0.0066952879352856,0.497878043,NaN0.229191547908759,NaN1.02898485777587,NaN0.722752069430181,NaN1.25515838879121,NaN0.885326827255901,NaN1.04722478820039
181,121895,NaN1.05116020583963,NaN1.11139854677242,NaN0.995278175174708,NaN0.243505664700979,NaN1.21047718229749,1.747601917,NaN1.22803398619366,1.318113392
182,121895,0.475365443,0.229665278,NaN0.0103096544042018,NaN0.93079995864151,NaN0.23502695656287,NaN1.49221841295159,NaN1.11379826654774,NaN0.841543207312084
183,121895,NaN0.649442929722576,NaN0.75378152676754,NaN0.557514388165592,0.640158428,NaN1.21047718229749,NaN0.0698582679892935,NaN1.22803398619366,NaN0.430180045535442
